jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
26,1,2023,result,trofeo-ses-salines-felanitx,1.1,2023 Trofeo Ses Salines - Alcudia.gpx,https://www.komoot.com/tour/2985880535,83.7,2.25,53.4,18.2,,,153.0,4.85,,0.207,0.539,,,,,,,,158.0,1367.0,1396.0,584.0,0.0,2.0,1.0,1.0,0.0,0.0,0.7758,0.7758,0.7758,0.0,0.0,1.1,0.43,0.26,19.0,0.04,284.0
27,1,2023,result,trofeo-pollenca-port-d-andratx,1.1,2023 Trofeo Andratx - Mirador des Colomer (Pollenca).gpx,https://www.komoot.com/tour/2985870317,139.0,3.29,14.3,4.84,,,158.0,3.0,,0.0,0.0,,,,,,,,160.85,3235.0,3078.0,887.0,2.0,10.0,4.0,2.0,1.0,1.0,0.9995,0.9995,0.7517,0.7517,0.7517,8.6,6.3,3.94,223.0,0.46,917.0
27,1,2023,stage_5,vuelta-ciclista-a-la-provincia-de-san-juan,2.Pro,2023 Vuelta a San Juan Internacional Stage 5.gpx,https://www.komoot.com/tour/2986018693,84.6,,86.1,2.76,0.535,,155.0,18.8,0.0,0.535,,,,,,,,,173.79,2569.0,587.0,2623.0,623.0,4.0,2.0,1.0,1.0,1.0,0.9985,0.9985,0.9985,0.9985,0.9985,3.5,4.8,4.86,908.0,0.04,182.0
27,1,2023,stage_5,la-tropicale-amissa-bongo,2.1,2023 La Tropicale Amissa Bongo Stage 5.gpx,https://www.komoot.com/tour/2985217749,2.38,0.0,101.0,,,,103.0,0.607,0.0,,,,,,,,,,103.43,439.0,447.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.12,19.0,-0.0,156.0
27,1,2023,stage_1,tour-of-sharjah,2.2,2023 Tour of Sharjah Stage 1.gpx,https://www.komoot.com/tour/2985821530,8.83,,,,,,8.83,,,,,,,,,,,,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,2023,stage_6,la-tropicale-amissa-bongo,2.1,2023 La Tropicale Amissa Bongo Stage 6.gpx,https://www.komoot.com/tour/2985219128,82.0,0.153,45.7,,,,128.0,0.153,,,,,,,,,,,127.9,444.0,444.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.04,183.0,0.0,182.0
28,1,2023,stage_6,vuelta-ciclista-a-la-provincia-de-san-juan,2.Pro,2023 Vuelta a San Juan Internacional Stage 6.gpx,https://www.komoot.com/tour/2986019941,55.3,0.614,71.4,9.41,8.51,,130.0,6.14,0.0,8.91,0.893,0.512,,,,,,,145.23,609.0,614.0,956.0,596.0,1.0,1.0,1.0,0.0,0.0,0.4795,0.4795,0.4795,0.0,0.0,0.3,0.5,0.34,68.0,0.46,357.0
28,1,2023,result,grand-prix-aspendos,1.2,2023 Grand Prix Aspendos.gpx,https://www.komoot.com/tour/2985080748,132.0,0.182,9.26,,,,137.0,4.97,,,,,,,,,,,141.66,633.0,634.0,210.0,-4.0,2.0,1.0,0.0,0.0,0.0,0.511,0.2094,0.0,0.0,0.0,0.2,0.1,0.14,63.0,-0.02,364.0
28,1,2023,stage_2,tour-of-sharjah,2.2,2023 Tour of Sharjah Stage 2.gpx,https://www.komoot.com/tour/2985822790,21.3,1.49,29.2,8.29,70.8,0.138,52.1,7.08,,58.5,0.185,0.169,0.0,,,,,,130.55,615.0,458.0,193.0,20.0,1.0,1.0,0.0,0.0,0.0,0.5846,0.5846,0.0,0.0,0.0,-0.2,-0.07,-0.24,84.0,0.16,227.0
28,1,2023,result,deia-trophy,1.1,2023 Trofeo Serra de Tramuntana (Lloseta - Lloseta).gpx,https://www.komoot.com/tour/2985879536,94.0,1.55,22.8,3.53,,,122.0,0.414,,,1.0,,,,,,,,122.58,1915.0,1927.0,586.0,10.0,2.0,2.0,2.0,0.0,0.0,0.8148,0.8148,0.8148,0.0,0.0,-0.2,0.3,0.12,92.0,0.79,892.0
