fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,path_km,off-grid_(unknown)_km,singletrack_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,state_road_km,alpine_km,compacted_gravel_km,alpine_path_km
2022 La Vuelta ciclista a Espana Stage 16.gpx,https://www.komoot.com/tour/2983893909,160.0,0.0,2.3,0.0,0.0,0.454,0.0,0.0,188.0,1.38,0.0,0.0,26.9,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 17.gpx,https://www.komoot.com/tour/2983895388,56.3,0.0,2.84,0.0,0.341,0.0,0.0,0.0,115.0,47.0,0.0,0.341,103.0,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 18.gpx,https://www.komoot.com/tour/2983897050,184.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,150.0,42.3,0.0,0.0,6.8,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 19.gpx,https://www.komoot.com/tour/2983898892,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.713,0.0,0.0,9.3,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 2.gpx,https://www.komoot.com/tour/2983901187,41.4,42.4,3.56,37.4,1.5,36.4,0.851,0.16,119.0,11.0,8.28,2.0,12.9,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 20.gpx,https://www.komoot.com/tour/2983903485,127.0,0.0,0.503,0.397,0.0,0.39,0.138,0.0,170.0,10.5,0.374,0.138,52.9,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 21.gpx,https://www.komoot.com/tour/2983907166,32.4,6.2,7.94,3.49,5.91,2.24,0.0,0.0,87.1,1.8,0.337,0.0,38.0,0.0,2.94,0.0
2022 La Vuelta ciclista a Espana Stage 3.gpx,https://www.komoot.com/tour/2983909561,41.0,65.5,2.47,9.92,0.758,8.31,0.38,0.0,131.0,44.0,9.47,0.62,1.37,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 4.gpx,https://www.komoot.com/tour/2983911238,130.0,0.0,0.582,0.0,0.0,0.0,0.0,0.0,152.0,0.582,0.0,0.0,22.2,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 5.gpx,https://www.komoot.com/tour/2983914166,78.1,2.24,2.82,2.21,0.16,1.33,0.0,0.0,172.0,9.52,0.19,3.94,103.0,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 6.gpx,https://www.komoot.com/tour/2983916509,108.0,0.0,0.773,0.271,0.282,0.0,0.0,0.0,166.0,15.5,0.0,0.102,72.8,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 7.gpx,https://www.komoot.com/tour/2983918504,30.0,0.443,0.527,0.795,0.309,0.177,0.0,0.0,189.0,0.447,0.0,0.0,159.0,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 8.gpx,https://www.komoot.com/tour/2983920116,139.0,0.0,1.83,0.544,0.682,0.746,0.0,0.0,152.0,1.79,0.0,0.354,12.7,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 9.gpx,https://www.komoot.com/tour/2983921855,118.0,0.0,2.66,0.0,0.242,0.264,0.0,0.0,171.0,1.28,0.0,0.242,51.0,0.0,0.0,0.0
2022 Le Samyn.gpx,https://www.komoot.com/tour/2983923437,131.0,39.3,23.0,1.77,0.0,1.59,0.0,0.0,148.0,43.9,15.1,0.106,13.7,0.0,0.0,0.0
2022 Le Tour de Bretagne Cycliste Stage 1.gpx,https://www.komoot.com/tour/2983925140,144.0,8.41,10.5,0.0,0.0,0.0,0.0,0.0,111.0,51.9,0.143,0.0,0.0,0.0,0.0,0.0
2022 Le Tour de Bretagne Cycliste Stage 2.gpx,https://www.komoot.com/tour/2983926585,144.0,0.0,3.2,0.0,0.542,0.0,0.164,0.0,133.0,21.6,0.0,0.164,7.16,0.0,0.542,0.0
2022 Le Tour de Bretagne Cycliste Stage 3.gpx,https://www.komoot.com/tour/2983927910,167.0,0.0,6.08,0.0,0.0,0.0,0.0,0.0,153.0,16.4,0.0,0.0,0.0,0.0,3.66,0.0
2022 Le Tour de Bretagne Cycliste Stage 4.gpx,https://www.komoot.com/tour/2983929277,159.0,0.0,2.91,0.724,0.0,0.0,0.0,0.0,137.0,29.0,0.0,0.0,4.33,0.0,0.0,0.0
2022 Le Tour de Bretagne Cycliste Stage 5.gpx,https://www.komoot.com/tour/2983930733,188.0,0.361,3.01,0.0,0.0,0.237,0.0,0.0,165.0,27.7,0.0,0.0,1.92,0.0,0.0,0.0
2022 Le Tour de Bretagne Cycliste Stage 6.gpx,https://www.komoot.com/tour/2983932232,152.0,0.0,7.54,0.415,0.0,0.347,0.0,0.0,119.0,43.3,0.0,0.385,3.38,0.0,0.0,0.0
2022 Le Tour de Bretagne Cycliste Stage 7.gpx,https://www.komoot.com/tour/2983933906,129.0,6.58,14.3,0.0,0.0,0.0,0.0,0.0,132.0,26.3,0.581,0.0,9.2,0.0,0.0,0.0
2022 Liege - Bastogne - Liege.gpx,https://www.komoot.com/tour/2983935740,181.0,10.3,5.35,0.786,0.137,0.633,0.0,0.0,250.0,6.12,0.479,0.0,60.3,0.0,0.0,0.0
2022 Lillehammer GP.gpx,https://www.komoot.com/tour/2983937706,109.0,1.59,0.133,0.133,0.0,0.189,0.0,0.0,130.0,0.0,0.0,0.39,19.6,0.0,0.0,0.0
2022 Luxembourg Road National Championships - ITT.gpx,https://www.komoot.com/tour/2983939198,13.5,0.0,0.312,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 Luxembourg Road National Championships.gpx,https://www.komoot.com/tour/2983940903,137.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 Marcel Kint Classic.gpx,https://www.komoot.com/tour/2983942637,82.5,83.5,10.0,14.0,0.0,0.0,0.0,0.0,138.0,46.2,10.5,0.0,4.93,0.0,0.0,0.0
"2022 Maryland Cycling Classic, presented by UnitedHealthcare.gpx",https://www.komoot.com/tour/2983945892,138.0,10.0,18.7,0.242,0.155,0.0,0.0,0.124,176.0,22.9,0.41,0.0,32.2,0.0,0.0,0.0
2022 Memorial Andrzeja Trochanowskiego.gpx,https://www.komoot.com/tour/2983947597,131.0,0.0,8.35,0.0,0.0,0.0,0.0,0.0,94.4,44.9,0.0,0.0,0.0,0.0,0.0,0.0
2022 Memorial Henryka Lasaka.gpx,https://www.komoot.com/tour/2983949495,140.0,0.0,2.34,2.11,2.55,0.0,0.0,0.0,140.0,0.122,2.49,0.0,0.0,0.0,0.0,0.0
2022 Memorial Jana Magiery.gpx,https://www.komoot.com/tour/2983951046,117.0,19.9,10.1,0.0,0.801,0.0,0.0,0.0,123.0,23.1,1.73,0.446,0.0,0.0,0.0,0.0
2022 Memorial Philippe Van Coningsloo.gpx,https://www.komoot.com/tour/2983953531,36.6,95.0,38.0,0.112,0.0,0.0,0.0,0.0,85.7,82.8,7.78,0.0,1.31,0.0,0.0,0.0
2022 Mercan'Tour Classic Alpes-Maritimes.gpx,https://www.komoot.com/tour/2983955574,140.0,7.5,0.0,0.311,0.0,1.34,0.0,0.0,166.0,0.543,0.0,0.0,18.8,0.0,0.0,0.0
2022 Midden-Brabant Poort Omloop.gpx,https://www.komoot.com/tour/2983958082,124.0,46.0,2.79,4.83,0.0,4.7,0.0,0.0,110.0,63.7,12.9,0.0,0.0,0.0,0.0,0.0
2022 Milano - Torino.gpx,https://www.komoot.com/tour/2983960201,92.3,0.961,0.829,8.33,3.48,9.34,0.0,0.0,185.0,1.71,0.469,3.09,93.1,0.0,0.0,0.0
2022 Milano-Sanremo.gpx,https://www.komoot.com/tour/2983963611,47.1,8.68,2.02,0.935,0.879,0.878,0.0,0.201,287.0,3.83,1.1,0.358,233.0,0.0,0.0,0.0
2022 Minerva Classic Brugge-De Panne.gpx,https://www.komoot.com/tour/2983965846,69.6,66.8,38.7,1.05,0.0,0.677,0.0,0.0,143.0,58.6,4.13,0.0,11.5,0.0,0.0,0.0
2022 Mont Ventoux Denivele Challenge.gpx,https://www.komoot.com/tour/2983967674,109.0,39.8,0.0,0.0,0.0,0.0,0.0,0.0,153.0,1.69,0.0,0.0,6.2,0.0,0.0,0.0
2022 National Road Championships - Ecuador - ITT.gpx,https://www.komoot.com/tour/2983969149,0.0,0.0,0.0,0.148,0.178,0.0,0.0,0.0,37.6,0.0,0.0,0.0,37.5,0.0,0.0,0.0
2022 National Road Championships - Ecuador.gpx,https://www.komoot.com/tour/2983972209,70.1,5.63,9.37,0.0,0.618,0.0,0.0,0.0,154.0,0.211,0.0,0.0,68.2,0.0,0.0,0.0
2022 National Road Championships - New Zealand - ITT.gpx,https://www.komoot.com/tour/2983973510,42.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,7.86,34.3,0.0,0.0,0.0,0.0,0.0,0.0
2022 National Road Championships - New Zealand.gpx,https://www.komoot.com/tour/2983975447,141.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,31.8,114.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 National Road Championships - South Africa - ITT.gpx,https://www.komoot.com/tour/2983977019,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 National Road Championships - South Africa.gpx,https://www.komoot.com/tour/2983984246,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 New Zealand Cycle Classic Stage 1.gpx,https://www.komoot.com/tour/2983985204,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.94,0.0,0.0,0.0,0.0,0.0,0.0
2022 New Zealand Cycle Classic Stage 2.gpx,https://www.komoot.com/tour/2983986317,157.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,5.47,153.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 New Zealand Cycle Classic Stage 3.gpx,https://www.komoot.com/tour/2983987680,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7,67.4,0.0,0.0,0.0,0.0,0.0,0.0
2022 New Zealand Cycle Classic Stage 4.gpx,https://www.komoot.com/tour/2983989058,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2,82.6,0.0,0.0,0.0,0.0,0.0,0.0
2022 New Zealand Cycle Classic Stage 5.gpx,https://www.komoot.com/tour/2983990938,3.55,0.0,0.0,17.8,0.0,17.8,0.0,0.0,2.95,0.598,0.0,0.0,0.0,0.0,0.0,0.0
2022 Norwegian Road National Championship.gpx,https://www.komoot.com/tour/2983992457,89.0,0.642,5.01,0.55,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,55.8,0.0,0.0,0.0
2022 Oberosterreich Rundfahrt Prologue.gpx,https://www.komoot.com/tour/2983993699,0.0,0.0,0.182,0.326,0.0,0.326,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0
2022 Oberosterreich Rundfahrt Stage 1.gpx,https://www.komoot.com/tour/2984000652,130.0,14.9,13.8,12.7,0.0,1.6,0.323,0.621,135.0,21.2,0.0,0.0,7.79,0.0,0.0,0.0
2022 Oberosterreich Rundfahrt Stage 2.gpx,https://www.komoot.com/tour/2984002300,119.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.116,0.0,0.0,9.44,0.0,0.0,0.0
2022 Oberosterreich Rundfahrt Stage 3.gpx,https://www.komoot.com/tour/2984003905,84.7,2.49,9.44,2.84,0.0,3.28,0.0,0.0,119.0,11.1,0.0,0.0,33.8,0.0,0.0,0.0
2022 Oceania Road Championships - ITT.gpx,https://www.komoot.com/tour/2984005315,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 Oceania Road Championships.gpx,https://www.komoot.com/tour/2984007068,27.6,54.2,5.28,32.3,0.982,31.4,1.09,0.0,32.1,59.4,0.0,1.08,4.16,0.0,0.0,0.0
2022 Oita Urban Classic.gpx,https://www.komoot.com/tour/2984009993,118.0,0.0,28.7,30.4,0.0,3.12,1.09,0.0,118.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0
2022 Omloop Het Nieuwsblad Elite.gpx,https://www.komoot.com/tour/2984011719,67.0,69.9,49.8,0.399,0.174,0.187,0.0,0.186,108.0,77.4,18.9,0.0,5.73,0.0,0.0,0.0
2022 Omloop van het Houtland.gpx,https://www.komoot.com/tour/2984013414,112.0,52.1,26.8,0.826,0.0,0.0,0.0,0.0,79.6,108.0,7.85,0.0,0.0,0.0,0.0,0.0
2022 PWZ Zuidenveld Tour.gpx,https://www.komoot.com/tour/2984015593,114.0,23.8,1.01,1.1,7.71,1.31,0.5,0.0,92.0,63.8,19.8,1.51,0.0,0.0,0.0,0.0
2022 Paris - Bourges.gpx,https://www.komoot.com/tour/2984017892,172.0,4.53,0.52,0.303,0.0,0.287,0.0,0.0,190.0,3.16,0.0,0.0,15.8,0.0,0.0,0.0
2022 Paris - Camembert.gpx,https://www.komoot.com/tour/2984019698,181.0,0.0,2.22,0.192,0.0,0.192,0.0,0.0,163.0,48.0,0.925,0.0,28.4,0.0,0.0,0.0
2022 Paris - Tours Elite.gpx,https://www.komoot.com/tour/2984021570,180.0,4.12,12.1,0.619,8.33,0.619,0.0,0.0,180.0,24.0,0.0,8.32,9.06,0.0,0.92,0.0
2022 Paris - Troyes.gpx,https://www.komoot.com/tour/2984023596,175.0,4.19,1.66,0.0,0.0,0.0,0.0,0.0,176.0,6.8,0.0,0.0,1.71,0.0,0.0,0.0
2022 Paris-Nice Stage 1.gpx,https://www.komoot.com/tour/2984025564,113.0,9.9,8.13,0.0,0.0,0.0,0.245,0.0,142.0,17.6,0.0,0.325,28.3,0.0,0.0,0.0
2022 Paris-Nice Stage 2.gpx,https://www.komoot.com/tour/2984027278,107.0,4.36,1.52,0.437,0.121,0.397,0.0,0.0,157.0,1.54,0.0,0.264,46.3,0.0,0.0,0.0
2022 Paris-Nice Stage 3.gpx,https://www.komoot.com/tour/2984028605,150.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,190.0,1.19,0.0,0.0,39.4,0.0,0.0,0.0
2022 Paris-Nice Stage 4.gpx,https://www.komoot.com/tour/2984029931,10.3,0.852,0.244,0.25,0.0,0.19,0.0,0.0,11.0,2.14,0.0,0.0,1.77,0.0,0.0,0.0
2022 Paris-Nice Stage 5.gpx,https://www.komoot.com/tour/2984032243,130.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,182.0,6.68,0.0,0.0,55.0,0.0,0.0,0.0
2022 Paris-Nice Stage 6.gpx,https://www.komoot.com/tour/2984034377,194.0,1.41,0.851,0.322,0.151,0.0,0.0,0.0,213.0,1.0,0.0,0.0,16.9,0.0,0.0,0.0
2022 Paris-Nice Stage 7.gpx,https://www.komoot.com/tour/2984036641,145.0,6.63,0.0,0.801,0.0,1.06,0.0,0.0,155.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0
2022 Paris-Nice Stage 8.gpx,https://www.komoot.com/tour/2984038415,73.9,7.2,1.34,0.0,0.202,0.197,0.0,0.0,115.0,0.114,0.0,0.0,32.1,0.0,0.0,0.0
2022 Paris-Roubaix.gpx,https://www.komoot.com/tour/2984040381,169.0,17.9,14.1,0.996,9.55,0.9,0.313,0.0,201.0,2.08,51.4,0.756,45.9,0.0,0.701,0.0
2022 Per Sempre Alfredo.gpx,https://www.komoot.com/tour/2984042458,131.0,0.3,3.08,3.29,0.109,2.91,0.0,0.0,165.0,4.62,0.0,0.0,35.6,0.0,0.0,0.0
2022 Petronas Le Tour de Langkawi Stage 1.gpx,https://www.komoot.com/tour/2984045040,72.9,0.0,0.18,0.0,0.0,0.0,0.0,0.0,160.0,0.226,0.0,0.0,87.0,0.0,0.0,0.0
2022 Petronas Le Tour de Langkawi Stage 2.gpx,https://www.komoot.com/tour/2984046460,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1.16,0.0,0.0,136.0,0.0,0.0,0.0
2022 Petronas Le Tour de Langkawi Stage 3.gpx,https://www.komoot.com/tour/2984048423,71.8,0.0,0.466,17.8,0.0,17.8,0.741,0.0,102.0,0.561,0.0,0.701,30.3,0.0,0.0,0.0
2022 Petronas Le Tour de Langkawi Stage 4.gpx,https://www.komoot.com/tour/2984049815,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,53.1,0.0,0.0,0.0
2022 Petronas Le Tour de Langkawi Stage 5.gpx,https://www.komoot.com/tour/2984051076,25.4,0.267,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0
2022 Petronas Le Tour de Langkawi Stage 6.gpx,https://www.komoot.com/tour/2984053073,4.68,0.0,0.593,6.46,0.153,6.62,0.263,0.0,112.0,0.0,0.299,0.263,96.6,0.0,0.0,0.0
2022 Petronas Le Tour de Langkawi Stage 7.gpx,https://www.komoot.com/tour/2984054661,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,75.4,0.0,0.0,0.0
2022 Petronas Le Tour de Langkawi Stage 8.gpx,https://www.komoot.com/tour/2984055979,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,78.9,0.0,0.0,0.0
2022 Polish National Road Championships.gpx,https://www.komoot.com/tour/2984057498,121.0,0.0,1.77,0.0,0.806,0.0,0.0,0.0,127.0,0.0,0.673,0.559,4.7,0.0,0.0,0.0
2022 Popolarissima.gpx,https://www.komoot.com/tour/2984060626,72.6,41.5,8.71,5.21,0.575,5.01,0.0,0.0,167.0,3.25,0.294,0.0,47.4,0.0,0.0,0.0
2022 PostNord Danmark Rundt - Tour of Denmark Stage 1.gpx,https://www.komoot.com/tour/2984062590,147.0,45.6,10.8,1.44,0.0,0.833,0.243,0.0,190.0,27.2,3.22,0.243,0.277,0.0,0.0,0.0
2022 PostNord Danmark Rundt - Tour of Denmark Stage 2.gpx,https://www.komoot.com/tour/2984064014,10.7,1.58,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.466,0.0,0.0,0.0,0.0,0.0
2022 PostNord Danmark Rundt - Tour of Denmark Stage 3.gpx,https://www.komoot.com/tour/2984065755,171.0,40.2,6.91,1.4,2.98,0.654,1.5,0.0,213.0,11.2,0.57,14.3,0.13,0.0,0.0,0.0
2022 PostNord Danmark Rundt - Tour of Denmark Stage 4.gpx,https://www.komoot.com/tour/2984067709,131.0,26.8,3.59,0.749,0.0,0.0,0.0,0.322,150.0,15.7,0.116,0.0,0.268,0.0,0.0,0.0
2022 PostNord Danmark Rundt - Tour of Denmark Stage 5.gpx,https://www.komoot.com/tour/2984069399,75.8,34.2,9.55,0.153,0.0,0.0,0.0,0.0,115.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0
2022 Presidential Cycling Tour of Turkey Stage 1.gpx,https://www.komoot.com/tour/2984071271,21.9,0.0,0.439,0.288,0.301,0.0,0.0,0.0,200.0,0.978,0.0,0.224,179.0,0.0,0.0,0.0
2022 Presidential Cycling Tour of Turkey Stage 2.gpx,https://www.komoot.com/tour/2984073195,0.924,1.66,1.75,0.0,0.0,0.0,0.0,0.0,153.0,3.41,0.0,0.0,152.0,0.0,0.0,0.0
2022 Presidential Cycling Tour of Turkey Stage 3.gpx,https://www.komoot.com/tour/2984075623,47.3,0.0,0.668,0.593,0.25,0.343,0.0,0.0,118.0,0.668,0.0,0.0,70.3,0.0,0.0,0.0
2022 Presidential Cycling Tour of Turkey Stage 4.gpx,https://www.komoot.com/tour/2984077786,48.6,0.612,0.199,0.0,0.0,0.0,0.0,0.0,142.0,6.4,0.0,0.0,99.1,0.0,0.0,0.0
2022 Presidential Cycling Tour of Turkey Stage 5.gpx,https://www.komoot.com/tour/2984079461,2.39,0.0,0.834,25.5,1.3,40.3,0.0,0.0,145.0,0.465,0.0,1.3,142.0,0.0,0.0,0.0
2022 Presidential Cycling Tour of Turkey Stage 6.gpx,https://www.komoot.com/tour/2984081206,23.9,0.0,2.09,20.9,0.0,20.9,0.0,0.0,180.0,1.0,0.0,0.0,155.0,0.0,0.0,0.0
2022 Presidential Cycling Tour of Turkey Stage 7.gpx,https://www.komoot.com/tour/2984082726,71.7,0.0,0.0,0.0,0.0,0.256,0.0,0.0,131.0,0.0,0.0,0.0,59.6,0.0,0.0,0.0
2022 Primus Classic.gpx,https://www.komoot.com/tour/2984084515,123.0,54.2,16.5,1.86,0.126,0.0,0.0,0.0,147.0,48.4,3.65,0.0,4.05,0.0,0.0,0.0
2022 Prueba Villafranca - Ordiziako Klasika.gpx,https://www.komoot.com/tour/2984086427,156.0,2.9,4.87,0.0,2.75,0.0,0.0,0.0,165.0,0.376,1.29,0.0,0.0,0.0,0.0,0.0
2022 Puchar MON.gpx,https://www.komoot.com/tour/2984087939,158.0,0.231,3.41,0.0,0.173,0.0,0.0,0.0,162.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0
2022 Ringerike GP.gpx,https://www.komoot.com/tour/2984089386,109.0,6.03,4.71,0.378,1.34,0.0,0.0,0.0,155.0,8.78,1.25,0.0,44.6,0.0,0.0,0.0
2022 Ronde de l'Oise Stage 1.gpx,https://www.komoot.com/tour/2984091069,140.0,3.54,2.24,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0
2022 Ronde de l'Oise Stage 2.gpx,https://www.komoot.com/tour/2984093095,198.0,3.55,3.67,0.0,0.196,0.0,0.0,0.0,192.0,13.3,0.0,0.0,0.347,0.0,0.0,0.0
2022 Ronde de l'Oise Stage 3.gpx,https://www.komoot.com/tour/2984094516,178.0,0.0,2.45,0.148,0.269,0.0,0.0,0.0,179.0,0.671,0.0,0.121,0.0,0.0,0.325,0.0
2022 Ronde de l'Oise Stage 4.gpx,https://www.komoot.com/tour/2984095919,165.0,5.33,3.26,0.163,1.44,0.0,0.0,0.0,160.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0
2022 Ronde van Limburg.gpx,https://www.komoot.com/tour/2984097922,51.3,73.9,15.3,5.54,0.553,5.5,1.15,0.223,135.0,50.8,9.81,1.65,4.37,0.0,0.0,0.0
2022 Ronde van Overijssel.gpx,https://www.komoot.com/tour/2984099833,147.0,38.9,1.94,2.38,0.59,1.96,0.274,0.0,166.0,11.3,21.6,0.459,3.27,0.0,0.0,0.0
2022 Ronde van Vlaanderen - Tour des Flandres.gpx,https://www.komoot.com/tour/2984101690,115.0,96.8,36.2,1.63,0.0,1.26,0.0,0.0,145.0,108.0,17.8,0.0,12.3,0.0,0.0,0.0
2022 Ronde van de Achterhoek.gpx,https://www.komoot.com/tour/2984103394,121.0,42.3,5.02,3.03,19.3,2.38,0.0,0.0,132.0,26.5,24.6,4.29,4.93,0.0,15.1,0.0
2022 Rund um Koln.gpx,https://www.komoot.com/tour/2984105469,149.0,32.8,8.26,1.85,0.0,1.81,0.68,0.0,164.0,30.3,1.81,0.62,3.23,0.0,0.0,0.0
2022 Rutland-Melton CiCLE Classic.gpx,https://www.komoot.com/tour/2984107197,153.0,0.0,8.25,3.64,5.99,0.674,0.0,0.0,100.0,69.3,0.0,5.99,10.7,0.0,0.0,0.0
2022 Saudi Tour Stage 1.gpx,https://www.komoot.com/tour/2984108519,120.0,0.0,7.54,0.63,0.0,0.427,0.0,0.0,189.0,0.0,0.0,0.0,69.2,0.0,6.91,0.0
2022 Saudi Tour Stage 2.gpx,https://www.komoot.com/tour/2984109767,162.0,0.0,0.0,0.348,0.0,0.348,0.0,0.0,159.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0
2022 Saudi Tour Stage 3.gpx,https://www.komoot.com/tour/2984111239,62.1,0.0,0.414,1.2,0.0,1.8,0.0,0.0,179.0,0.306,0.0,0.0,117.0,0.0,0.0,0.0
2022 Saudi Tour Stage 4.gpx,https://www.komoot.com/tour/2984113489,57.6,0.0,6.47,0.45,0.0,0.45,0.0,0.0,138.0,11.2,0.0,0.0,84.8,0.0,0.0,0.0
2022 Saudi Tour Stage 5.gpx,https://www.komoot.com/tour/2984115038,52.3,0.0,2.78,3.39,0.0,2.54,0.0,0.241,132.0,4.72,0.0,0.0,82.6,0.0,0.0,0.0
2022 Sazka Tour Stage 1.gpx,https://www.komoot.com/tour/2984117262,195.0,0.689,2.01,0.0,0.115,0.0,0.0,0.0,194.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0
2022 Sazka Tour Stage 2.gpx,https://www.komoot.com/tour/2984119211,138.0,2.83,11.7,0.341,0.0,0.324,0.0,0.0,189.0,0.449,0.0,0.0,36.4,0.0,0.0,0.0
2022 Sazka Tour Stage 3.gpx,https://www.komoot.com/tour/2984121066,82.3,0.0,15.0,0.0,18.8,0.0,0.0,0.0,148.0,1.44,0.0,0.0,33.0,0.0,0.0,0.0
2022 Sazka Tour Stage 4.gpx,https://www.komoot.com/tour/2984123459,110.0,1.14,14.3,0.0,0.0,0.0,0.0,0.0,176.0,1.64,2.46,0.0,54.6,0.0,0.0,0.0
2022 Scandinavian Race in Uppsala 1909-2022.gpx,https://www.komoot.com/tour/2984127305,69.3,59.2,60.7,15.2,0.259,7.01,2.47,0.0,170.0,11.1,1.47,1.67,0.0,0.0,0.0,0.0
2022 Scheldeprijs.gpx,https://www.komoot.com/tour/2984129212,50.4,86.6,5.25,17.2,0.35,16.9,5.48,0.0,69.8,104.0,8.2,0.564,5.09,0.0,0.0,0.0
2022 Settimana Internazionale Coppi e Bartali Stage 1.gpx,https://www.komoot.com/tour/2984130851,162.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.105,0.194,0.0,0.0,0.0,0.0,0.0
2022 Settimana Internazionale Coppi e Bartali Stage 2.gpx,https://www.komoot.com/tour/2984132392,163.0,0.0,1.47,1.25,0.0,1.25,0.0,0.0,140.0,25.4,0.0,0.0,0.17,0.0,0.0,0.0
2022 Settimana Internazionale Coppi e Bartali Stage 3.gpx,https://www.komoot.com/tour/2984133995,131.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,145.0,1.72,0.621,0.0,13.2,0.0,0.0,0.0
2022 Settimana Internazionale Coppi e Bartali Stage 4.gpx,https://www.komoot.com/tour/2984135387,121.0,0.0,7.54,1.5,1.5,0.0,0.0,0.0,153.0,2.4,0.0,0.0,27.4,0.0,0.0,0.0
2022 Settimana Internazionale Coppi e Bartali Stage 5.gpx,https://www.komoot.com/tour/2984136817,145.0,0.585,2.23,0.584,0.0,0.457,0.0,0.0,142.0,17.1,0.0,0.0,12.0,0.0,0.0,0.0
2022 Sibiu Cycling Tour Prologue.gpx,https://www.komoot.com/tour/2984137924,0.221,0.0,1.7,0.0,0.0,0.341,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 Sibiu Cycling Tour Stage 1.gpx,https://www.komoot.com/tour/2984139146,49.7,0.0,0.735,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0
2022 Sibiu Cycling Tour Stage 2.gpx,https://www.komoot.com/tour/2984140545,76.5,0.0,0.429,0.133,0.133,0.0,0.0,0.0,179.0,0.429,0.0,0.0,102.0,0.0,0.0,0.0
2022 Skoda Tour Luxembourg Stage 1.gpx,https://www.komoot.com/tour/2984142776,123.0,1.37,1.01,2.5,0.635,2.35,0.0,0.0,162.0,0.0,1.27,0.0,38.0,0.0,0.0,0.0
2022 Skoda Tour Luxembourg Stage 2.gpx,https://www.komoot.com/tour/2984144702,135.0,2.42,3.0,0.0,0.793,0.0,0.0,0.0,164.0,0.284,0.458,0.0,23.1,0.0,0.0,0.0
