fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,path_km,off-grid_(unknown)_km,singletrack_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,state_road_km,alpine_km,compacted_gravel_km,alpine_path_km
2022 Danilith Nokere Koerse.gpx,https://www.komoot.com/tour/2983505298,61.7,41.1,9.32,1.71,0.0,1.71,0.0,0.0,70.0,41.6,12.8,0.0,1.75,0.0,0.0,0.0
2022 De Brabantse Pijl - La Fleche Brabanconne.gpx,https://www.komoot.com/tour/2983507256,76.5,85.1,19.9,0.84,0.782,0.681,0.0,0.126,138.0,62.2,4.43,0.0,11.5,0.0,0.0,0.0
2022 Deutschland Tour Prologue.gpx,https://www.komoot.com/tour/2983508702,1.5,0.346,0.802,0.0,0.0,0.0,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 Deutschland Tour Stage 1.gpx,https://www.komoot.com/tour/2983510572,125.0,5.34,1.34,0.105,0.809,0.0,0.431,0.105,167.0,4.57,0.0,0.406,38.7,0.0,0.0,0.0
2022 Deutschland Tour Stage 2.gpx,https://www.komoot.com/tour/2983512463,170.0,4.38,0.773,0.491,0.161,0.0,0.0,0.0,199.0,0.966,0.154,0.0,23.1,0.0,0.0,0.0
2022 Deutschland Tour Stage 3.gpx,https://www.komoot.com/tour/2983514497,138.0,5.49,2.24,0.497,0.446,0.463,0.0,0.0,143.0,4.54,0.632,0.329,0.0,0.0,0.0,0.0
2022 Deutschland Tour Stage 4.gpx,https://www.komoot.com/tour/2983517353,147.0,12.4,11.9,0.635,3.37,0.286,2.55,0.0,179.0,5.47,0.66,0.439,6.13,0.0,0.0,0.0
2022 Districtenpijl - Ekeren-Deurne.gpx,https://www.komoot.com/tour/2983519826,14.0,59.3,27.4,2.23,0.392,0.237,0.946,0.0,69.7,56.9,7.85,0.946,0.0,0.0,0.0,0.0
2022 Donostia San Sebastian Klasikoa.gpx,https://www.komoot.com/tour/2983522557,137.0,5.09,9.23,1.55,0.631,0.863,0.0,0.0,215.0,1.15,0.728,3.94,69.7,0.0,0.0,0.0
2022 Dookola Mazowsza Stage 1.gpx,https://www.komoot.com/tour/2983524455,150.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0
2022 Dookola Mazowsza Stage 2.gpx,https://www.komoot.com/tour/2983526929,174.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 Dookola Mazowsza Stage 3.gpx,https://www.komoot.com/tour/2983529112,145.0,2.86,14.8,0.282,0.272,0.0,0.0,0.0,106.0,42.3,5.97,9.71,1.63,0.0,0.0,0.0
2022 Dookola Mazowsza Stage 4.gpx,https://www.komoot.com/tour/2983531080,85.0,0.0,11.4,0.732,0.198,0.732,0.191,0.0,149.0,15.2,0.198,0.191,68.0,0.0,0.0,0.0
2022 Dorpenomloop Rucphen.gpx,https://www.komoot.com/tour/2983532624,99.4,45.2,0.732,7.08,2.56,6.54,0.0,0.0,90.1,86.3,0.855,2.56,0.0,0.0,0.0,0.0
2022 Druivenkoers - Overijse.gpx,https://www.komoot.com/tour/2983534843,84.6,82.0,15.4,0.0,0.0,0.0,0.0,0.0,86.6,98.4,7.5,0.0,1.52,0.0,0.0,0.0
2022 Dwars door het Hageland.gpx,https://www.komoot.com/tour/2983537482,30.4,66.9,19.2,0.998,37.5,0.812,0.106,0.0,61.2,75.0,3.31,10.2,1.04,0.0,26.5,0.0
2022 E3 Saxo Bank Classic.gpx,https://www.komoot.com/tour/2983539484,86.1,68.4,25.8,0.913,0.119,0.758,0.0,0.0,122.0,66.3,15.9,0.0,11.8,0.0,0.0,0.0
2022 Elfstedenronde Brugge.gpx,https://www.komoot.com/tour/2983542004,91.3,63.2,18.5,0.802,0.709,0.0,0.0,0.184,104.0,70.2,16.9,0.322,3.85,0.0,0.0,0.0
