fichier_gpx,route_url,road_km,state_road_km,street_km,asphalt_km,unpaved_km,paved_km,off-grid_(unknown)_km,unknown_km,path_km,cobblestones_km,cycleway_km,singletrack_km,compacted_gravel_km,access_road_km
2023 Circuit des Ardennes Stage 1.gpx,https://www.komoot.com/tour/2984831130,75.0,10.3,3.64,78.2,0.0,11.4,0.216,0.216,0.0,0.0,0.643,0.0,0.0,0.0
2023 Circuit des Ardennes Stage 2.gpx,https://www.komoot.com/tour/2984832250,174.0,9.25,2.75,164.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Circuit des Ardennes Stage 3.gpx,https://www.komoot.com/tour/2984833709,151.0,14.2,3.8,140.0,0.0,29.5,0.0,0.265,0.159,0.0,1.22,0.0,0.0,0.0
2023 Circuit des Ardennes Stage 4.gpx,https://www.komoot.com/tour/2984834879,123.0,6.29,5.97,130.0,0.0,7.52,0.0,0.0,0.389,1.48,3.21,0.0,0.0,0.0
2023 Circuito de Getxo - Memorial Hermanos Otxoa.gpx,https://www.komoot.com/tour/2984837411,60.7,86.2,35.9,181.0,0.0,18.5,0.0,0.19,8.03,0.42,8.81,0.0,0.0,0.0
2023 Circuito del Porto - Trofeo Arvedi.gpx,https://www.komoot.com/tour/2984839066,111.0,45.8,0.0,177.0,0.0,0.0,2.86,2.65,0.0,0.0,19.9,0.0,0.0,0.0
2023 Clasica de Almeria.gpx,https://www.komoot.com/tour/2984840605,74.6,47.6,0.323,122.0,0.347,0.688,18.6,13.0,0.819,0.0,0.0,0.0,0.0,0.0
2023 Classic Brugge-De Panne.gpx,https://www.komoot.com/tour/2984842470,92.9,9.76,19.9,164.0,0.784,43.4,0.0,0.772,0.263,3.4,64.9,0.731,0.159,0.0
2023 Classic Grand Besancon Doubs.gpx,https://www.komoot.com/tour/2984844184,164.0,0.0,2.03,162.0,0.0,7.43,0.541,0.576,0.0,0.0,3.55,0.0,0.0,0.0
2023 Classic Loire Atlantique.gpx,https://www.komoot.com/tour/2984845818,147.0,0.0,29.3,163.0,0.0,20.7,0.0,0.0,0.0,0.0,7.77,0.0,0.0,0.0
2023 Classica Comunitat Valenciana 1969 - Gran Premi Valencia.gpx,https://www.komoot.com/tour/2984848082,141.0,45.9,0.805,187.0,0.102,1.28,0.0,0.0,0.0,0.0,0.461,0.0,0.0,0.0
2023 Classica da Arrabida - Cyclin'Portugal.gpx,https://www.komoot.com/tour/2984849688,66.1,102.0,14.1,172.0,1.72,8.66,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.0
2023 Coppa Agostoni - Giro delle Brianze.gpx,https://www.komoot.com/tour/2984851586,191.0,0.267,3.12,161.0,0.0,36.5,0.0,0.0,0.267,0.65,2.94,0.0,0.0,0.0
2023 Coppa Bernocchi - GP Banco BPM.gpx,https://www.komoot.com/tour/2984853390,161.0,13.7,9.76,173.0,0.0,11.8,0.0,0.0,0.0,0.764,0.689,0.0,0.0,0.263
2023 Coppa Citta Di San Daniele.gpx,https://www.komoot.com/tour/2984854887,153.0,5.25,0.0,113.0,0.0,45.0,2.73,2.73,0.0,0.0,0.0,0.0,0.0,0.0
2023 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 1-1.gpx,https://www.komoot.com/tour/2984856111,76.9,0.0,5.05,70.9,1.23,10.3,0.0,0.0,0.298,1.9,2.16,0.0,0.0,0.0
2023 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 1-2.gpx,https://www.komoot.com/tour/2984857345,83.4,0.0,1.21,78.3,0.199,6.73,0.0,0.0,0.0,0.385,0.939,0.0,0.0,0.0
2023 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 2.gpx,https://www.komoot.com/tour/2984858671,145.0,1.05,16.6,151.0,0.305,11.6,0.0,0.496,1.06,2.49,2.26,0.0,0.0,0.0
2023 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 3.gpx,https://www.komoot.com/tour/2984860170,199.0,3.21,10.0,205.0,1.03,7.4,0.0,0.936,2.27,1.83,1.81,0.0,0.663,0.186
2023 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 4.gpx,https://www.komoot.com/tour/2984861868,136.0,5.32,16.6,156.0,0.419,3.78,0.0,0.849,1.74,10.1,11.8,0.419,0.185,0.0
2023 Courts Mamouth Classique de l'Ile Maurice.gpx,https://www.komoot.com/tour/2984863353,1.11,26.0,7.48,26.4,0.554,7.5,183.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Criterium du Dauphine Stage 1.gpx,https://www.komoot.com/tour/2984865104,158.0,0.0,0.32,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421
