fichier_gpx,route_url,road_km,state_road_km,off-grid_(unknown)_km,street_km,asphalt_km,unknown_km,cycleway_km,access_road_km,paved_km,cobblestones_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km,alpine_km,alpine_path_km
2019 Canadian Road National Championship - ITT.gpx,https://www.komoot.com/tour/2971765025,33.0,0.0,0.0,1.02,33.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Canadian Road National Championship.gpx,https://www.komoot.com/tour/2971765523,104.0,0.0,3.82,0.393,98.8,3.34,0.0,0.0,5.07,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0
2019 Chabany Race.gpx,https://www.komoot.com/tour/2971766055,137.0,0.0,0.0,1.82,109.0,0.872,0.0,0.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Challenge International du Sahara Marocain Stage 1.gpx,https://www.komoot.com/tour/2971766469,0.789,91.2,11.6,1.98,91.2,10.4,0.0,0.0,0.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Challenge International du Sahara Marocain Stage 2.gpx,https://www.komoot.com/tour/2971766906,57.2,13.4,31.2,0.587,71.1,30.9,0.0,0.0,0.0,0.0,16.4,16.4,0.0,0.0,0.0,0.0,0.0
2019 Challenge International du Sahara Marocain Stage 3.gpx,https://www.komoot.com/tour/2971767481,0.0,161.0,0.0,0.375,161.0,0.0,0.0,0.0,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Challenge du Prince - Trophee Princier.gpx,https://www.komoot.com/tour/2971768068,88.0,60.9,0.0,0.836,150.0,0.0,0.0,0.0,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Challenge du Prince - Trophee de l'Anniversaire.gpx,https://www.komoot.com/tour/2971768566,85.2,58.5,0.0,0.112,144.0,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Challenge du Prince - Trophee de la Maison Royale.gpx,https://www.komoot.com/tour/2971769069,46.5,93.2,0.0,0.0,140.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Chinese Road National Championships - ITT.gpx,https://www.komoot.com/tour/2971769805,114.0,73.5,0.965,0.0,192.0,0.965,0.0,0.0,0.148,0.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0
2019 Cholet-Pays de Loire.gpx,https://www.komoot.com/tour/2971771208,157.0,1.86,4.27,26.7,171.0,4.93,14.7,1.21,29.7,0.0,0.318,0.115,0.0,0.107,0.0,0.0,0.0
2019 Chrono Champenois Masculin International.gpx,https://www.komoot.com/tour/2971771738,26.3,5.57,0.0,0.669,32.0,0.0,0.489,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Chrono Kristin Armstrong.gpx,https://www.komoot.com/tour/2971772206,26.4,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Chrono des Nations.gpx,https://www.komoot.com/tour/2971772712,44.5,0.131,0.0,0.0,45.9,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Circuit Cycliste Sarthe - Pays de la Loire Stage 1.gpx,https://www.komoot.com/tour/2971773368,153.0,13.1,2.14,3.62,157.0,2.39,5.91,0.0,17.8,0.173,0.374,0.374,0.0,0.0,0.0,0.0,0.0
2019 Circuit Cycliste Sarthe - Pays de la Loire Stage 2.gpx,https://www.komoot.com/tour/2971774094,168.0,1.67,0.0,0.334,171.0,0.0,1.73,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Circuit Cycliste Sarthe - Pays de la Loire Stage 3.gpx,https://www.komoot.com/tour/2971774706,178.0,3.27,0.591,2.23,137.0,0.636,0.25,0.0,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Circuit Cycliste Sarthe - Pays de la Loire Stage 4.gpx,https://www.komoot.com/tour/2971775155,167.0,1.53,0.0,13.8,179.0,0.0,0.0,0.0,3.43,0.0,0.133,0.133,0.0,0.0,0.0,0.0,0.0
