fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,access_road_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unknown_km,unpaved_km,off-grid_(unknown)_km,compacted_gravel_km,alpine_km
2021 Benelux Tour Stage 3.gpx,https://www.komoot.com/tour/2973417799,84.1,0.0,3.2,51.6,0.0,0.306,0.48,114.0,45.5,8.16,0.276,1.22,0.0,0.0,0.0
2021 Benelux Tour Stage 4.gpx,https://www.komoot.com/tour/2973419096,48.7,0.523,6.69,99.2,0.0,0.274,0.0,86.5,77.8,0.807,1.74,0.112,1.48,0.0,0.0
2021 Benelux Tour Stage 5.gpx,https://www.komoot.com/tour/2973420327,106.0,5.13,12.3,52.8,0.0,0.12,0.0,143.0,42.8,1.84,0.0,0.0,0.0,0.0,0.0
2021 Benelux Tour Stage 6.gpx,https://www.komoot.com/tour/2973421502,156.0,14.2,4.77,30.4,0.0,0.0,0.0,195.0,9.34,0.0,0.474,0.0,0.383,0.0,0.0
2021 Benelux Tour Stage 7.gpx,https://www.komoot.com/tour/2973422373,67.2,15.9,28.9,64.2,0.74,0.219,0.0,119.0,52.4,8.68,1.58,0.0,0.831,0.0,0.0
2021 Boucles de l'Aulne - Chateaulin.gpx,https://www.komoot.com/tour/2973423579,118.0,52.4,8.64,0.0,0.0,0.0,0.0,167.0,10.9,0.616,0.0,0.0,0.0,0.0,0.0
2021 Boucles de la Mayenne Stage 1.gpx,https://www.komoot.com/tour/2973424669,165.0,3.07,5.39,0.462,0.0,0.0,0.0,161.0,12.4,0.0,0.994,0.0,0.0,0.0,0.0
2021 Boucles de la Mayenne Stage 2.gpx,https://www.komoot.com/tour/2973425751,160.0,2.9,9.64,0.0,0.182,0.0,0.0,150.0,22.8,0.337,0.182,0.0,0.0,0.0,0.0
2021 Boucles de la Mayenne Stage 3.gpx,https://www.komoot.com/tour/2973426736,177.0,0.488,2.12,1.52,0.0,0.0,0.0,145.0,35.8,0.0,0.6,0.0,0.596,0.0,0.0
2021 Boucles de la Mayenne Stage 4.gpx,https://www.komoot.com/tour/2973427702,168.0,3.61,5.4,4.04,0.0,0.0,0.0,162.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0
2021 Bredene Koksijde Classic.gpx,https://www.komoot.com/tour/2973428691,104.0,2.81,9.54,50.8,0.0,0.325,0.355,137.0,59.5,2.63,0.569,0.602,0.0,0.0,0.0
2021 Bretagne Classic - Ouest-France.gpx,https://www.komoot.com/tour/2973429845,238.0,7.78,5.08,1.82,0.0,0.0,0.0,189.0,64.5,0.0,0.24,0.0,0.24,0.0,0.0
2021 Brussels Cycling Classic.gpx,https://www.komoot.com/tour/2973431052,95.0,11.9,27.3,54.7,0.795,0.718,0.0,140.0,47.4,8.21,9.84,0.402,9.31,0.0,0.0
2021 CAC African Road Championships - ITT.gpx,https://www.komoot.com/tour/2973432387,5.85,34.5,0.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,1.22,0.0,1.83,0.0,0.0
2021 CAC African Road Championships - TTT.gpx,https://www.komoot.com/tour/2973433285,5.85,34.5,0.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,1.22,0.0,1.83,0.0,0.0
2021 CAC African Road Championships.gpx,https://www.komoot.com/tour/2973434595,15.3,66.9,0.0,0.0,0.0,0.0,0.0,82.2,0.0,0.0,1.09,0.0,1.31,0.0,0.0
2021 CCC Tour - Grody Piastowskie Stage 1.gpx,https://www.komoot.com/tour/2973436577,81.1,0.0,4.75,7.84,0.0,0.912,0.0,88.6,5.54,0.391,2.08,0.0,2.02,0.0,0.0
2021 CCC Tour - Grody Piastowskie Stage 2.gpx,https://www.komoot.com/tour/2973438247,136.0,0.0,3.94,0.0,0.0,0.5,0.0,134.0,5.26,1.57,0.985,0.0,0.668,0.0,0.0
2021 CCC Tour - Grody Piastowskie Stage 3.gpx,https://www.komoot.com/tour/2973439604,116.0,0.0,8.57,0.0,0.424,0.617,0.0,106.0,18.4,0.616,0.184,0.0,0.0,0.0,0.0
2021 COPACI Campeonato Panamericano de Ruta - ITT.gpx,https://www.komoot.com/tour/2973440755,38.9,0.0,0.0,0.0,0.0,1.24,0.0,38.9,0.183,0.0,0.882,0.0,0.0,0.0,0.0
2021 COPACI Campeonato Panamericano de Ruta.gpx,https://www.komoot.com/tour/2973441969,87.8,0.0,0.0,0.0,0.0,2.79,0.0,87.8,0.411,0.0,2.2,0.0,0.0,0.0,0.0
2021 Canadian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973443142,33.0,0.0,1.02,0.0,0.0,0.0,0.0,33.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2021 Canadian Road National Championships.gpx,https://www.komoot.com/tour/2973444186,198.0,0.0,0.571,0.0,0.0,0.0,0.0,189.0,2.26,0.0,0.0,6.95,0.0,0.0,0.0
2021 Cholet - Pays de la Loire.gpx,https://www.komoot.com/tour/2973445555,157.0,1.1,24.8,13.9,0.405,0.315,0.294,168.0,28.9,0.0,5.66,0.294,5.02,0.0,0.0
2021 Chrono des Nations.gpx,https://www.komoot.com/tour/2973446546,43.4,0.131,0.499,0.557,0.0,0.0,0.0,44.1,0.499,0.0,0.0,0.0,0.0,0.0,0.0
2021 Circuit de Wallonie.gpx,https://www.komoot.com/tour/2973447454,99.5,54.3,9.37,29.1,0.0,0.0,0.0,165.0,23.2,3.42,3.39,0.0,3.15,0.0,0.0
2021 Circuit des Ardennes International Stage 1.gpx,https://www.komoot.com/tour/2973448356,107.0,3.61,10.5,0.0,0.0,0.0,0.0,115.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0
2021 Circuit des Ardennes International Stage 2.gpx,https://www.komoot.com/tour/2973449157,160.0,24.4,2.7,0.0,0.0,0.0,0.0,183.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0
2021 Circuit des Ardennes International Stage 3.gpx,https://www.komoot.com/tour/2973450091,142.0,19.2,2.76,1.22,0.0,0.159,0.0,124.0,40.5,0.0,0.186,0.0,0.0,0.0,0.0
2021 Circuit des Ardennes International Stage 4.gpx,https://www.komoot.com/tour/2973451079,149.0,6.85,6.89,5.95,0.0,0.0,0.0,150.0,16.8,1.7,2.65,0.0,2.65,0.0,0.0
2021 Circuito de Getxo - Memorial Hermanos Otxoa.gpx,https://www.komoot.com/tour/2973452928,52.0,84.3,34.3,23.0,0.0,1.07,0.0,166.0,23.8,4.64,0.147,0.0,0.0,0.0,0.0
2021 Circuito del Porto - Trofeo Arvedi.gpx,https://www.komoot.com/tour/2973454061,111.0,45.8,0.0,19.9,0.0,0.0,0.0,177.0,0.0,0.0,2.65,0.0,2.86,0.0,0.0
