fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km
2018 Bretagne Classic - Ouest-France.gpx,https://www.komoot.com/tour/2969937070,233.0,15.1,2.65,4.82,0.667,0.0,181.0,74.3,0.0,0.83,1.19,1.19,0.0,0.0,0.0
2018 Brussels Cycling Classic.gpx,https://www.komoot.com/tour/2969938368,98.2,7.35,28.7,55.4,0.195,0.115,147.0,47.1,4.6,0.475,1.69,0.0,0.0,0.94,0.0
2018 CAC African Road Championships - ITT.gpx,https://www.komoot.com/tour/2969939412,0.239,39.3,0.38,0.0,0.664,0.0,8.35,31.2,0.0,0.423,0.0,0.239,0.0,0.0,0.0
2018 CAC African Road Championships - TTT.gpx,https://www.komoot.com/tour/2969940400,0.239,39.3,0.38,0.0,0.664,0.0,8.35,31.2,0.0,0.423,0.0,0.239,0.0,0.0,0.0
2018 CAC African Road Championships.gpx,https://www.komoot.com/tour/2969941369,64.5,0.0,2.09,14.5,1.69,0.0,30.8,50.3,0.0,1.45,0.0,0.0,0.0,0.0,0.0
2018 COPACI Campeonato Panamericano de Ruta - ITT.gpx,https://www.komoot.com/tour/2969942190,0.0,30.7,0.0,9.26,0.0,0.0,36.7,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 COPACI Campeonato Panamericano de Ruta.gpx,https://www.komoot.com/tour/2969943131,18.0,0.0,0.108,0.0,145.0,0.0,18.1,1.37,0.0,148.0,4.18,0.0,0.0,0.0,0.0
2018 Cadel Evans Great Ocean Road Race.gpx,https://www.komoot.com/tour/2969944139,77.7,6.93,0.683,28.1,0.0,0.0,87.9,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Canadian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969945006,32.6,0.0,0.244,0.0,3.56,0.0,32.6,0.244,0.0,2.28,0.0,0.0,0.0,0.0,0.0
2018 Canadian Road National Championships.gpx,https://www.komoot.com/tour/2969946234,82.6,23.6,1.94,70.3,0.0,0.0,109.0,69.3,0.0,3.47,3.47,0.0,0.0,0.0,0.0
