fichier_gpx,route_url,state_road_km,road_km,path_km,street_km,cycleway_km,singletrack_km,asphalt_km,cobblestones_km,unpaved_km,paved_km,unknown_km,off-grid_(unknown)_km,access_road_km,compacted_gravel_km,alpine_km,alpine_path_km
2020 Cycling Tour of Szeklerland Prologue.gpx,https://www.komoot.com/tour/2972888352,0.943,3.17,0.0,1.22,0.0,0.0,5.33,0.0,0.0,0.0,0.148,0.105,0.0,0.0,0.0,0.0
2020 Cycling Tour of Szeklerland Stage 1.gpx,https://www.komoot.com/tour/2972889385,99.5,74.7,0.0,0.0,0.308,0.0,162.0,8.86,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
2020 Cycling Tour of Szeklerland Stage 2.gpx,https://www.komoot.com/tour/2972890438,189.0,0.907,0.284,0.125,1.73,0.0,190.0,0.0,0.255,1.22,0.125,0.0,0.0,0.0,0.0,0.0
2020 Czech Cycling Tour Stage 1.gpx,https://www.komoot.com/tour/2972891239,0.0,17.5,0.0,0.519,0.0,0.0,17.5,0.0,0.0,0.566,0.0,0.0,0.0,0.0,0.0,0.0
2020 Czech Cycling Tour Stage 2.gpx,https://www.komoot.com/tour/2972892332,0.0,189.0,0.902,4.3,0.67,0.0,189.0,0.557,0.0,4.33,1.25,0.273,0.0,0.0,0.0,0.0
2020 Czech Cycling Tour Stage 3.gpx,https://www.komoot.com/tour/2972893608,38.4,151.0,0.496,16.0,0.553,0.0,195.0,0.66,1.64,8.72,1.33,0.848,0.0,0.0,0.0,0.0
2020 Czech Cycling Tour Stage 4.gpx,https://www.komoot.com/tour/2972894511,29.1,106.0,9.5,24.4,2.29,0.0,168.0,2.61,0.0,2.69,1.4,0.0,0.0,0.0,0.0,0.0
2020 De Brabantse Pijl - La Fleche Brabanconne.gpx,https://www.komoot.com/tour/2972895508,7.65,78.8,0.91,19.4,85.2,0.0,127.0,2.45,0.0,66.1,1.12,1.09,0.0,0.0,0.0,0.0
2020 Dookola Mazowsza Stage 1.gpx,https://www.komoot.com/tour/2972896474,0.0,150.0,0.0,0.0,18.8,0.0,150.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Dookola Mazowsza Stage 2.gpx,https://www.komoot.com/tour/2972897450,0.0,0.0,0.0,2.22,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Dookola Mazowsza Stage 3.gpx,https://www.komoot.com/tour/2972898403,0.0,161.0,0.0,5.79,0.0,0.0,164.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0
2020 Dookola Mazowsza Stage 4.gpx,https://www.komoot.com/tour/2972899263,68.0,85.0,0.198,11.4,0.0,0.191,149.0,0.198,0.191,15.2,0.732,0.732,0.0,0.0,0.0,0.0
2020 Dorpenomloop Rucphen.gpx,https://www.komoot.com/tour/2972900178,0.0,114.0,0.373,0.277,35.6,0.0,93.7,0.639,0.0,93.7,12.9,12.5,0.0,0.0,0.0,0.0
2020 Druivenkoers - Overijse.gpx,https://www.komoot.com/tour/2972901211,12.0,59.9,0.0,29.7,85.7,0.0,101.0,0.729,0.0,93.0,1.76,1.76,0.0,0.0,0.0,0.0
2020 Dwars door het Hageland.gpx,https://www.komoot.com/tour/2972902391,2.74,29.9,38.3,15.8,62.6,0.0,74.0,3.89,10.3,64.2,1.48,1.24,0.0,26.8,0.0,0.0
2020 Etoile de Besseges Stage 1.gpx,https://www.komoot.com/tour/2972907326,36.0,93.9,2.36,6.77,0.0,0.0,135.0,0.0,0.0,1.87,3.2,1.76,0.0,0.394,0.0,0.0
2020 Etoile de Besseges Stage 2.gpx,https://www.komoot.com/tour/2972908238,3.14,151.0,0.0,0.838,0.429,0.0,151.0,0.0,0.0,5.01,0.317,0.176,0.0,0.0,0.0,0.0
2020 Etoile de Besseges Stage 3.gpx,https://www.komoot.com/tour/2972909002,17.7,138.0,0.0,1.43,0.0,0.0,152.0,0.0,0.0,4.89,3.53,3.53,0.0,0.0,0.0,0.0
2020 Etoile de Besseges Stage 4.gpx,https://www.komoot.com/tour/2972909969,25.8,112.0,0.0,1.45,0.168,0.0,135.0,0.0,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0
2020 Etoile de Besseges Stage 5.gpx,https://www.komoot.com/tour/2972910616,5.83,4.5,0.0,0.443,0.148,0.0,10.8,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0
2020 Faun-Ardeche Classic.gpx,https://www.komoot.com/tour/2972911812,39.3,126.0,0.0,0.0,18.6,0.0,174.0,0.0,0.0,10.0,0.507,0.507,0.0,0.0,0.0,0.0
2020 GP Antalya.gpx,https://www.komoot.com/tour/2972912664,68.7,47.0,0.0,3.76,0.0,0.0,112.0,0.0,0.524,3.69,4.47,0.0,0.774,0.0,0.0,0.0
2020 GP Belek.gpx,https://www.komoot.com/tour/2972913520,40.4,77.3,0.0,5.14,0.0,0.0,111.0,0.0,0.0,7.44,4.38,0.0,0.0,0.0,0.0,0.0
2020 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 1.gpx,https://www.komoot.com/tour/2972914307,19.1,121.0,0.0,4.0,1.56,0.0,140.0,0.0,0.0,6.28,0.426,0.426,0.0,0.0,0.0,0.0
2020 GP Internacional Torres Vedras - Trofeu Joaquim Agostinho Stage 2.gpx,https://www.komoot.com/tour/2972915183,30.1,105.0,0.0,6.9,1.6,0.0,138.0,0.0,0.0,4.91,0.73,0.503,0.0,0.0,0.0,0.0
2020 GP Kranj.gpx,https://www.komoot.com/tour/2972917281,18.1,1.19,22.7,59.0,45.4,0.883,120.0,5.55,0.0,25.7,2.31,0.0,0.0,0.0,0.0,0.0
2020 GP Manavgat.gpx,https://www.komoot.com/tour/2972918365,67.7,43.6,0.408,0.17,0.0,0.0,110.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Gent-Wevelgem In Flanders Fields.gpx,https://www.komoot.com/tour/2972919372,10.4,107.0,4.23,4.55,88.6,0.0,154.0,6.32,4.19,65.3,2.96,2.46,0.0,0.0,0.0,0.0
2020 German Road National Championships.gpx,https://www.komoot.com/tour/2972920255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 1.gpx,https://www.komoot.com/tour/2972921110,0.0,11.7,1.33,0.375,1.05,0.0,12.8,0.88,0.0,0.772,0.512,0.512,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 10.gpx,https://www.komoot.com/tour/2972922252,83.1,90.0,0.0,1.03,1.9,0.0,176.0,0.0,0.0,0.0,0.756,0.524,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 11.gpx,https://www.komoot.com/tour/2972923496,95.8,67.3,0.49,2.65,3.07,0.0,166.0,0.117,0.209,2.56,12.7,12.5,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 12.gpx,https://www.komoot.com/tour/2972924336,12.0,188.0,0.0,2.8,1.33,0.0,204.0,0.238,0.0,0.612,0.416,0.289,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 13.gpx,https://www.komoot.com/tour/2972925301,91.3,86.6,0.324,2.18,1.23,0.0,179.0,0.612,0.0,1.56,6.68,10.8,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 14.gpx,https://www.komoot.com/tour/2972926172,0.0,30.8,0.104,0.716,2.52,0.0,31.2,0.677,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 15.gpx,https://www.komoot.com/tour/2972927390,29.7,149.0,0.11,1.17,0.651,0.0,179.0,0.199,0.0,1.39,4.96,4.96,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 16.gpx,https://www.komoot.com/tour/2972928738,16.2,212.0,0.187,0.759,0.516,0.0,219.0,1.08,0.0,8.78,0.496,0.459,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 17.gpx,https://www.komoot.com/tour/2972930294,49.7,146.0,1.61,1.01,2.51,0.0,199.0,0.376,0.12,1.17,3.82,3.73,0.268,0.0,0.0,0.0
2020 Giro d'Italia Stage 18.gpx,https://www.komoot.com/tour/2972932134,83.9,113.0,0.335,6.42,0.6,0.481,198.0,0.457,0.323,3.58,3.96,3.73,0.0,1.49,0.351,0.0
2020 Giro d'Italia Stage 19.gpx,https://www.komoot.com/tour/2972933042,58.8,63.3,0.0,0.0,1.56,0.0,115.0,0.0,1.29,7.67,0.0,0.0,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 2.gpx,https://www.komoot.com/tour/2972934024,86.2,61.6,0.0,1.03,0.0,0.0,147.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 20.gpx,https://www.komoot.com/tour/2972934974,108.0,73.0,0.711,5.85,1.73,0.304,185.0,0.291,0.304,3.36,0.773,0.212,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 21.gpx,https://www.komoot.com/tour/2972935873,4.93,3.37,1.55,1.1,3.28,0.0,12.9,0.394,0.0,0.968,1.58,1.48,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 3.gpx,https://www.komoot.com/tour/2972936862,1.7,146.0,0.0,0.794,0.0,0.0,146.0,2.04,0.0,0.537,3.21,3.21,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 4.gpx,https://www.komoot.com/tour/2972937863,69.7,70.4,0.0,0.0,0.476,0.0,138.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 5.gpx,https://www.komoot.com/tour/2972938900,64.5,149.0,0.797,4.21,1.74,0.0,212.0,0.0,0.797,7.38,5.01,5.26,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 6.gpx,https://www.komoot.com/tour/2972939755,75.8,74.2,0.21,1.89,0.712,0.0,147.0,0.0,0.114,4.43,28.1,35.6,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 7.gpx,https://www.komoot.com/tour/2972940719,50.1,71.4,0.0,0.703,0.66,0.0,117.0,0.0,0.0,5.64,23.1,23.2,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 8.gpx,https://www.komoot.com/tour/2972942098,37.1,155.0,1.34,4.07,0.818,0.0,194.0,0.231,0.0,4.06,2.45,2.28,0.0,0.0,0.0,0.0
2020 Giro d'Italia Stage 9.gpx,https://www.komoot.com/tour/2972943109,116.0,74.4,7.03,3.7,0.0,0.0,192.0,0.0,5.9,2.03,9.12,8.55,0.0,0.897,0.0,0.0
2020 Giro dell'Appennino.gpx,https://www.komoot.com/tour/2972944272,48.1,122.0,0.236,1.72,18.3,0.0,187.0,0.0,0.574,1.6,3.1,1.86,0.314,0.0,0.0,0.0
2020 Giro dell'Emilia.gpx,https://www.komoot.com/tour/2972945369,61.2,130.0,0.0,0.665,8.6,0.0,194.0,4.88,0.0,0.885,0.317,0.192,0.0,0.0,0.0,0.0
2020 Giro della Toscana - Memorial Alfredo Martini.gpx,https://www.komoot.com/tour/2972946329,22.6,155.0,0.0,0.249,4.06,0.0,164.0,0.0,0.0,17.3,0.82,0.762,0.0,0.0,0.0,0.0
2020 Gooikse Pijl.gpx,https://www.komoot.com/tour/2972947152,0.0,113.0,0.0,0.0,81.2,0.0,101.0,0.0,0.0,92.7,0.0,0.0,0.0,0.0,0.0,0.0
2020 Gran Piemonte.gpx,https://www.komoot.com/tour/2972947933,9.86,175.0,0.0,1.49,0.155,0.0,176.0,0.409,3.4,6.88,0.663,0.554,0.106,0.0,0.0,0.0
2020 Gran Premio de la Patagonia.gpx,https://www.komoot.com/tour/2972949649,57.3,0.625,22.7,0.0,54.7,0.0,0.0,0.0,0.0,133.0,6.6,4.69,0.0,0.625,0.0,0.0
2020 Gran Trittico Lombardo.gpx,https://www.komoot.com/tour/2972951315,72.9,103.0,0.0,14.6,9.14,0.0,195.0,0.568,0.0,3.83,0.238,0.0,0.34,0.0,0.0,0.0
2020 Grand Prix Alanya.gpx,https://www.komoot.com/tour/2972952874,33.8,109.0,0.0,2.16,0.0,0.0,116.0,2.1,0.0,27.4,2.12,2.12,0.0,0.0,0.0,0.0
2020 Grand Prix Cappadocia.gpx,https://www.komoot.com/tour/2972953748,31.4,148.0,0.0,0.295,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Grand Prix Central Anatolia.gpx,https://www.komoot.com/tour/2972954536,22.9,108.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Grand Prix Chantal Biya Stage 1.gpx,https://www.komoot.com/tour/2972955525,58.9,33.1,0.0,1.69,0.0,0.0,60.8,0.12,5.2,27.5,4.06,4.06,0.0,0.0,0.0,0.0
2020 Grand Prix Chantal Biya Stage 2.gpx,https://www.komoot.com/tour/2972956287,142.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,15.7,0.498,0.498,0.0,0.0,0.0,0.0
2020 Grand Prix Chantal Biya Stage 3.gpx,https://www.komoot.com/tour/2972957005,164.0,5.07,0.0,0.464,0.0,0.0,110.0,0.0,4.78,54.9,1.55,1.55,0.0,0.0,0.0,0.0
2020 Grand Prix Chantal Biya Stage 4.gpx,https://www.komoot.com/tour/2972957764,71.6,38.9,0.0,0.0,0.0,0.0,16.5,0.0,31.9,62.1,0.466,0.466,0.0,0.0,0.0,0.0
2020 Grand Prix Chantal Biya Stage 5.gpx,https://www.komoot.com/tour/2972958530,168.0,0.476,0.0,0.202,0.0,0.0,137.0,0.0,0.0,31.1,0.442,0.436,0.168,0.0,0.0,0.0
2020 Grand Prix Cycliste la Marseillaise.gpx,https://www.komoot.com/tour/2972960121,37.5,104.0,0.0,0.996,0.973,0.0,142.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0
2020 Grand Prix Develi.gpx,https://www.komoot.com/tour/2972960933,29.6,91.9,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Grand Prix Gazipasa.gpx,https://www.komoot.com/tour/2972961940,101.0,59.3,0.0,0.0,0.0,0.0,158.0,0.0,0.0,1.43,0.238,0.173,0.0,0.0,0.0,0.0
2020 Grand Prix Manavgat - Side.gpx,https://www.komoot.com/tour/2972963970,113.0,54.2,0.0,0.573,0.0,0.0,165.0,1.97,0.0,0.614,0.295,0.295,0.0,0.0,0.0,0.0
