jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,state_road_km,off-grid_(unknown)_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,access_road_km,alpine_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,type_course,niveau_uci,is_stage_race,cluster,cluster_label
28,1,2024,result,trofeo-palma,1.1,2024 Trofeo Palma.gpx,https://www.komoot.com/tour/2961643136,49.0,5.77,2.57,1.55,88.4,1.61,3.36,0.0,140.0,5.26,3.71,0.0,0.0,0.0,0.0,149.8,989.0,997.0,250.0,0.0,3.0,1.0,0.0,0.0,0.0,0.6785,0.0891,0.0,0.0,0.0,-0.4,-0.07,0.0,43.0,sprint,2,0,2.0,court_plat
28,1,2024,result,great-ocean-road-race,1.UWT,2024 Cadel Evans Great Ocean Road Race.gpx,https://www.komoot.com/tour/2951644901,117.0,45.1,5.49,1.05,5.47,1.05,0.0,0.409,120.0,53.1,0.0,0.0,0.0,0.0,0.0,174.86,1699.0,1714.0,164.0,1.0,6.0,1.0,0.0,0.0,0.0,0.9279,0.0616,0.0,0.0,0.0,-1.0,-0.87,-0.92,54.0,sprint,4,0,1.0,sprint_pave
28,1,2024,result,gp-d-ouverture,1.1,2024 Grand Prix Cycliste de Marseille La Marseillaise.gpx,https://www.komoot.com/tour/2951751766,119.0,2.74,0.706,0.208,42.6,0.208,0.0,0.0,164.0,1.55,0.0,0.0,0.0,0.0,0.0,165.94,2753.0,2953.0,730.0,10.0,8.0,6.0,3.0,0.0,0.0,0.9443,0.9443,0.8165,0.0,0.0,-0.3,-1.3,-1.56,1.0,accidentee,2,0,5.0,accidente_long
28,1,2024,stage_3,tour-of-sharjah,2.2,2024 Tour of Sharjah Stage 3.gpx,https://www.komoot.com/tour/2961566273,9.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96,0.0,0.0,0.0,0.0,0.0,0.0,10.14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.03,-0.02,1.0,CLM,1,1,2.0,court_plat
30,1,2024,stage_4,tour-of-sharjah,2.2,2024 Tour of Sharjah Stage 4.gpx,https://www.komoot.com/tour/2963129186,61.0,0.0,4.26,59.3,5.47,54.7,1.11,0.0,39.4,28.0,0.0,0.0,0.0,0.0,0.0,125.38,2154.0,1611.0,543.0,0.0,8.0,3.0,1.0,0.0,0.0,0.9996,0.9996,0.9996,0.0,0.0,7.8,8.73,8.0,548.0,arrivee_en_cote,1,1,5.0,accidente_long
30,1,2024,stage_1,alula-tour,2.1,2024 AlUla Tour Stage 1.gpx,https://www.komoot.com/tour/2951616922,106.0,0.0,0.0,0.271,42.5,0.541,0.0,0.0,145.0,3.83,0.0,0.0,0.0,0.0,0.0,149.08,686.0,672.0,751.0,517.0,5.0,1.0,0.0,0.0,0.0,0.9518,0.5344,0.0,0.0,0.0,-0.2,-0.47,-0.62,48.0,sprint,2,1,2.0,court_plat
31,1,2024,stage_1,vuelta-a-la-comunidad-valenciana,2.Pro,2024 Volta a la Comunitat Valenciana Stage 1.gpx,https://www.komoot.com/tour/2961882937,122.0,0.0,6.76,0.0,37.7,0.0,0.0,0.0,160.0,6.2,0.262,0.0,0.0,0.0,0.0,166.79,2373.0,2354.0,786.0,1.0,8.0,3.0,2.0,1.0,0.0,0.8963,0.8963,0.8963,0.2922,0.0,0.5,0.17,-0.08,19.0,accidentee,3,1,5.0,accidente_long
31,1,2024,stage_5,tour-of-sharjah,2.2,2024 Tour of Sharjah Stage 5.gpx,https://www.komoot.com/tour/2963130433,4.1,0.0,0.391,53.6,16.9,72.3,1.68,0.0,19.3,1.72,0.0,1.68,0.0,0.0,0.0,95.07,549.0,909.0,604.0,133.0,2.0,0.0,0.0,0.0,0.0,0.2387,0.0,0.0,0.0,0.0,-0.3,-0.1,-0.18,30.0,sprint,1,1,2.0,court_plat
31,1,2024,stage_2,alula-tour,2.1,2024 AlUla Tour Stage 2.gpx,https://www.komoot.com/tour/2951617395,107.0,0.0,0.0,0.0,91.3,0.18,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,199.33,1347.0,1119.0,1132.0,763.0,3.0,2.0,1.0,0.0,0.0,0.9961,0.9961,0.2455,0.0,0.0,-0.5,2.4,2.98,300.0,sprint,2,1,5.0,accidente_long
1,2,2024,result,nc-ecuador-itt,NC,2024 National Road Championships - Ecuador - ITT.gpx,https://www.komoot.com/tour/2951831975,2.12,0.0,0.176,0.0,40.6,0.0,0.0,0.0,14.8,28.1,0.0,0.0,0.0,0.0,0.0,42.93,260.0,259.0,2790.0,2729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-0.2,0.52,100.0,CLM,0,0,2.0,court_plat
