rider,equipe,ate_log,ate_orig,ci_low,ci_high,significant,r2_t,r2_y,mean_cate,std_cate,p25_cate,p75_cate,n_obs,n_selected
wurf_cameron,INEOS Grenadiers,0.089483,0.0936,-0.3047,0.6898,0,0.4783,0.2448,,,,,1104,141
yates_adam,INEOS Grenadiers,-0.71447,-0.5105,-0.8218,0.2833,0,0.7615,0.1246,,,,,489,110
øxenberg_peter,INEOS Grenadiers,-0.164393,-0.1516,-0.9316,7.4286,0,0.1726,-0.1758,,,,,265,16
ackermann_pascal,UAE Team Emirates,-0.418708,-0.3421,-0.615,0.0626,0,0.5213,0.225,,,,,609,138
aït_el_abdia_anass,UAE Team Emirates,0.135533,0.1451,-0.6455,2.5373,0,0.6523,0.0813,,,,,257,38
almeida_joão,UAE Team Emirates,-0.175032,-0.1606,-0.5159,0.3923,0,0.7558,0.2927,,,,,1167,267
almutaiwei_mohammad,UAE Team Emirates,0.84903,1.3374,-0.2885,5.4104,0,0.3954,0.2728,,,,,590,14
ardila_andrés_camilo,UAE Team Emirates,0.074527,0.0774,-0.4398,1.0564,0,0.4589,0.1374,,,,,708,98
arrieta_igor,UAE Team Emirates,0.012932,0.013,-0.4057,0.7821,0,0.5324,0.2505,,,,,601,131
aru_fabio,UAE Team Emirates,-0.331198,-0.2819,-0.5172,0.0968,0,0.5066,0.1802,,,,,722,161
atapuma_darwin,UAE Team Emirates,-0.168157,-0.1548,-0.6286,1.3902,0,0.7972,-0.1687,,,,,248,72
ayuso_juan,UAE Team Emirates,0.297507,0.3465,-0.1324,1.0376,0,0.5475,0.313,,,,,1425,217
baroncini_filippo,UAE Team Emirates,0.51776,0.6783,0.0363,1.6718,1,0.4247,0.2588,,,,,590,122
bax_sjoerd,UAE Team Emirates,0.84401,1.3257,0.5186,2.61,1,0.3305,0.2255,,,,,598,109
bjerg_mikkel,UAE Team Emirates,0.131727,0.1408,-0.1295,0.4571,0,0.5334,0.3114,,,,,1624,375
bohli_tom,UAE Team Emirates,0.061536,0.0635,-0.4519,0.8107,0,0.5602,0.0604,,,,,456,110
bono_matteo,UAE Team Emirates,0.322675,0.3808,-0.2931,1.8095,0,0.5563,0.0603,,,,,237,55
brunel_alexys,UAE Team Emirates,0.382617,0.4661,-0.1734,2.3741,0,-0.1224,0.0151,,,,,281,22
bystrøm_sven_erik,UAE Team Emirates,0.275151,0.3167,-0.1153,0.8331,0,0.5788,0.2489,,,,,955,236
christen_jan,UAE Team Emirates,-0.046599,-0.0455,-0.4334,0.4409,0,0.3378,0.3034,,,,,892,128
consonni_simone,UAE Team Emirates,0.052639,0.054,-0.284,0.887,0,0.5416,0.2514,,,,,534,152
conti_valerio,UAE Team Emirates,-0.29358,-0.2544,-0.4795,0.0772,0,0.5756,0.2663,,,,,957,251
costa_rui,UAE Team Emirates,0.026786,0.0271,-0.2344,0.4613,0,0.5602,0.2198,,,,,1233,302
