date,year,course,stage,stage_num,classification,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,max_pts,fichier_gpx,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km
2018-01-26,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage_5,5.0,2.1,169.35,124.0,45.5,0.0,0.0,0.0,125.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,2469.0,440.0,2623.0,586.0,1.0,1.0,0.0,0.0,1.0,0.9992,0.9992,0.9992,0.9992,0.9992,5.6,5.27,5.14,1013.0,0.32,198.0,14.0,2018 Vuelta Ciclista a la Provincia de San Juan Stage 5.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,2018,tour-international-des-zibans,stage_1,1.0,2.2,196.05,177.0,0.0,0.0,0.0,0.0,13.5,0.38,164.0,0.0,18.9,0.0,18.9,0.0,0.0,591.0,591.0,234.0,65.0,2.0,0.0,0.0,0.0,0.0,0.814,0.0,0.0,0.0,0.0,0.0,0.23,0.42,61.0,0.12,240.0,7.0,2018 Tour International des Zibanes Stage 1.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,2018,speedy-tour-d-indonesia,stage_2,2.0,2.1,117.56,117.0,0.0,0.0,0.0,0.0,14.4,0.123,97.2,5.48,0.563,0.0,0.679,0.0,0.0,256.0,297.0,147.0,24.0,1.0,0.0,0.0,0.0,0.0,0.2362,0.0,0.0,0.0,0.0,0.0,-0.07,-0.1,31.0,-0.02,185.0,14.0,2018 Tour de Indonesia Stage 2.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,2018,tour-of-sharjah,stage_3,3.0,2.1,116.57,33.1,23.7,0.0,0.0,0.0,27.9,8.42,25.3,0.0,56.2,0.0,61.3,1.14,0.0,1298.0,1045.0,544.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8788,0.8788,0.8788,0.0,0.0,0.1,-0.4,-1.54,198.0,-0.01,310.0,14.0,2018 Sharjah International Cycling Tour Stage 3.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,2018,deia-trophy,result,,1.1,140.19,140.0,0.0,0.0,0.0,0.0,127.0,0.347,5.34,7.49,0.0,0.0,0.0,0.0,0.0,2913.0,2769.0,882.0,9.0,1.0,1.0,3.0,0.0,1.0,0.9688,0.9688,0.7975,0.7975,0.7975,3.4,1.2,-0.9,218.0,0.14,944.0,125.0,2018 Trofeo Serra de Tramuntana.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-27,2018,gravel-and-tar,result,,1.2,131.02,20.0,74.3,0.0,31.0,0.0,99.8,7.04,14.6,4.01,4.76,0.0,4.91,0.0,0.0,1255.0,1252.0,297.0,33.0,3.0,1.0,0.0,0.0,0.0,0.822,0.7355,0.0,0.0,0.0,0.0,0.17,0.06,25.0,0.17,477.0,40.0,2018 Gravel and Tar.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-27,2018,speedy-tour-d-indonesia,stage_3,3.0,2.1,199.79,199.0,1.32,0.0,0.0,0.0,4.2,0.549,195.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,1266.0,730.0,16.0,0.0,1.0,0.0,1.0,0.0,0.6172,0.6172,0.6172,0.6172,0.0,2.3,0.83,0.58,56.0,0.01,305.0,14.0,2018 Tour de Indonesia Stage 3.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-27,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage_6,6.0,2.1,151.86,112.0,11.8,0.0,2.69,0.0,11.0,1.46,113.0,0.0,26.6,0.0,27.7,1.57,0.0,520.0,514.0,829.0,572.0,1.0,1.0,0.0,0.0,0.0,0.8745,0.3863,0.0,0.0,0.0,0.2,0.23,0.5,92.0,-0.12,56.0,14.0,2018 Vuelta Ciclista a la Provincia de San Juan Stage 6.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-27,2018,tour-international-des-zibans,stage_2,2.0,2.2,123.53,121.0,0.0,0.0,0.0,0.0,5.17,0.0,115.0,0.0,2.46,0.0,2.23,0.0,0.0,407.0,408.0,113.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.33,0.14,34.0,0.01,168.0,7.0,2018 Tour International des Zibanes Stage 2.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-27,2018,trofeo-pollenca-port-d-andratx,result,,1.1,172.63,168.0,3.47,0.599,0.0,0.0,139.0,2.11,28.6,1.93,0.727,0.0,0.988,0.139,0.0,2614.0,2654.0,585.0,1.0,5.0,1.0,2.0,0.0,0.0,0.9795,0.725,0.5145,0.0,0.0,3.3,-0.1,0.28,176.0,0.81,744.0,125.0,2018 Trofeo Lloseta-Andratx.gpx,0.368,0.0,0.368,0.0,0.0,0.0
2018-01-27,2018,tour-of-sharjah,stage_4,4.0,2.1,98.98,97.0,0.0,0.0,0.0,0.0,84.8,0.0,12.2,0.0,2.03,0.0,1.83,0.0,0.0,210.0,210.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,-0.04,19.0,0.0,107.0,14.0,2018 Sharjah International Cycling Tour Stage 4.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-28,2018,trofeo-palma,result,,1.1,159.59,151.0,7.38,0.233,0.0,0.297,70.0,3.5,76.8,8.21,1.04,0.0,1.12,0.958,0.0,1134.0,1135.0,375.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6983,0.6983,0.6983,0.0,0.0,0.5,0.07,0.02,93.0,0.12,365.0,125.0,2018 Trofeo Playa de Palma.gpx,0.0,0.0,0.0,0.0,0.0,0.0
