fichier_gpx,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km
2018 Volta a Portugal em Bicicleta Santander Totta Stage 4.gpx,0.227,0.0,0.227,0.0,0.0,0.0
2018 Volta a Portugal em Bicicleta Santander Totta Stage 6.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Volta a Portugal em Bicicleta Santander Totta Stage 7.gpx,3.612,0.0,3.612,0.0,3.612,0.0
2018 Volta a Portugal em Bicicleta Santander Totta Stage 8.gpx,0.287,0.0,0.287,0.0,0.0,0.0
2018 Volta a Portugal em Bicicleta Santander Totta Stage 9.gpx,1.71,0.0,0.091,0.0,0.0,0.0
2018 Volta ao Alentejo Stage 1.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Volta ao Algarve em Bicicleta Stage 2.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Vuelta a Andalucia - Ruta Ciclista Del Sol Stage 1.gpx,0.0,0.051,0.0,0.051,0.0,0.051
2018 Vuelta a Andalucia - Ruta Ciclista Del Sol Stage 2.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Vuelta a Andalucia - Ruta Ciclista Del Sol Stage 3.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Vuelta a Burgos Stage 1.gpx,0.867,0.0,0.867,0.0,0.446,0.0
2018 Vuelta a Castilla y Leon Stage 3.gpx,0.98,0.0,0.98,0.0,0.98,0.0
2018 Vuelta a Espana Stage 17.gpx,0.09,0.0,0.041,0.0,0.041,0.0
2018 Vuelta a Espana Stage 21.gpx,2.449,0.0,0.918,0.0,0.343,0.0
2018 Vuelta a Espana Stage 3.gpx,0.375,0.0,0.375,0.0,0.0,0.0
2018 Vuelta a Espana Stage 4.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Vuelta a Espana Stage 8.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 4 Jours de Dunkerque / Grand Prix des Hauts-de-France Stage 5.gpx,8.818,0.0,4.213,0.0,1.91,0.0
2018 4 Jours de Dunkerque / Grand Prix des Hauts-de-France Stage 6.gpx,10.301,0.0,4.267,0.0,1.509,0.0
2018 A Travers les Hauts de France / Trophe Paris-Arras Tour Stage 1.gpx,0.271,0.0,0.0,0.0,0.0,0.0
2018 Dwars Door Vlaanderen / A travers la Flandre.gpx,3.431,0.299,1.6,0.0,1.6,0.0
2018 Okolo jiznich Cech / Tour of South Bohemia Stage 4.gpx,1.009,0.0,1.009,0.0,0.605,0.0
2018 Okolo jiznich Cech / Tour of South Bohemia Stage 5.gpx,0.874,0.0,0.874,0.0,0.874,0.0
2019 100a Coppa Bernocchi - 43o GP BPM.gpx,0.122,0.0,0.0,0.0,0.0,0.0
2019 60a Dookola Mazowsza Stage 1.gpx,7.107,0.0,2.411,0.0,2.411,0.0
2019 75eme Grand Prix International de la ville de Nogent-sur-Oise.gpx,0.17,0.0,0.085,0.0,0.085,0.0
2019 Amstel Gold Race.gpx,0.518,0.001,0.123,0.0,0.123,0.0
2019 Antwerp Port Epic - Sels Trophy.gpx,9.364,1.711,0.578,0.834,0.075,0.0
2019 Antwerpse Havenpijl.gpx,2.082,0.0,0.947,0.0,0.355,0.0
2019 Arno Wallaard Memorial.gpx,1.044,0.0,0.49,0.0,0.176,0.0
2019 Baloise Belgium Tour Stage 1.gpx,5.381,0.568,1.975,0.189,1.168,0.189
2019 Baloise Belgium Tour Stage 2.gpx,5.746,0.0,2.869,0.0,0.0,0.0
2019 Baloise Belgium Tour Stage 4.gpx,0.751,0.0,0.312,0.0,0.312,0.0
2019 Baloise Belgium Tour Stage 5.gpx,0.195,0.0,0.098,0.0,0.0,0.0
2019 Baltyk - Karkonosze Tour Stage 1.gpx,0.766,0.105,0.0,0.0,0.0,0.0
2019 Baltyk - Karkonosze Tour Stage 3.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2019 Belgian Road National Championships.gpx,6.088,0.0,2.475,0.0,0.69,0.0
2019 Belgrade Banjaluka Stage 4.gpx,0.772,0.0,0.441,0.0,0.221,0.0
2019 Binche - Chimay - Binche (Memorial Frank Vandenbroucke).gpx,3.441,0.0,1.554,0.0,0.611,0.0
2019 BinckBank Tour Stage 1.gpx,7.844,0.0,3.014,0.0,1.99,0.0
2019 BinckBank Tour Stage 2.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2019 BinckBank Tour Stage 3.gpx,4.192,0.012,1.69,0.006,0.658,0.006
2019 BinckBank Tour Stage 5.gpx,3.797,0.0,1.735,0.0,0.704,0.0
2019 BinckBank Tour Stage 7.gpx,4.498,0.0,1.497,0.0,1.424,0.0
2019 Boucles de l'Aulne - Chateaulin.gpx,0.369,0.0,0.185,0.0,0.123,0.0
2019 Bredene Koksijde Classic.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2019 Bretagne Classic - Ouest France.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2019 Brussels Cycling Classic.gpx,2.937,0.0,0.119,0.0,0.0,0.0
2019 CRO Race Stage 3.gpx,1.116,0.0,1.03,0.0,0.321,0.0
