course,pts_uci_rank1
puchar-uzdrowisk-karpackich,40.0
race-horizon-park,40.0
race-horizon-park-2,40.0
race-torquay,125.0
raceseo-1749389130,40.0
radsportfest-marwil,40.0
ras-tailteann,7.0
region-pays-de-la-loire,14.0
renewi-tour,50.0
rhodes-gp,40.0
rhone-alpes-isere-tour,7.0
ride-london-classic,300.0
ringerike-gp,40.0
ronda-pilipinas,7.0
ronde-de-l-isard,5.0
ronde-de-l-oise,7.0
ronde-van-de-achterhoek,40.0
ronde-van-drenthe,200.0
ronde-van-limburg,125.0
ronde-van-midden-nederland,40.0
ronde-van-noord-holland,40.0
ronde-van-overijssel,40.0
ronde-van-vlaanderen,800.0
route-adelie-de-vitre,125.0
rund-um-koln,125.0
ruota-d-oro-gp-festa-del-perdono,30.0
ruta-de-la-ceramica-gran-premio-castellon,125.0
ruta-del-sol,20.0
san-sebastian,400.0
scandinavian-race-uppsala,40.0
schaal-schels,125.0
scheldeprijs,200.0
sd-worx-bw-classic,40.0
settimana-ciclistica-italiana,14.0
settimana-internazionale-coppi-e-bartali,14.0
sibiu-cycling-tour,14.0
silesian-classic,40.0
skive-lobet,40.0
skoda-tour-de-maurice,7.0
slag-om-norg,125.0
slezanski-mnich1,40.0
south-aegean-tour,7.0
speedy-tour-d-indonesia,14.0
sri-lanka-t-cup,7.0
ster-van-zwolle,40.0
strade-bianche,400.0
summer-asian-games,250.0
summer-asian-games-itt,70.0
sun-hung-kai-properties-hong-kong-challenge,125.0
syedra-ancient-city,40.0
szlakiem-grodow-piastowskich,7.0
szlakiem-walk-majora-hubala,14.0
tacx-pro-classic,125.0
the-road-race-tokyo-tama,40.0
the-tour-oqtosh-chorvoq-mountain,40.0
the-tour-oqtosh-chorvoq-mountain-ii,40.0
tirreno-adriatico,60.0
tokyo-2020-test-event,40.0
toscana-terra-di-ciclismo,5.0
tour-alsace,7.0
tour-auvergne-rhone-alpes,60.0
tour-bitwa-warszawska-1920,7.0
tour-cycliste-international-de-la-guadeloupe,7.0
tour-cycliste-international-la-provence,20.0
tour-d-algerie-cycliste,7.0
tour-d-eure-et-loir,7.0
tour-de-batam,40.0
tour-de-beauce,7.0
tour-de-catamarca-internacional,7.0
tour-de-cote-d-ivoire,7.0
tour-de-delta,40.0
tour-de-france,210.0
tour-de-gyeongnam,7.0
tour-de-hokkaido,7.0
tour-de-hongrie,20.0
tour-de-iskandar-johor,7.0
tour-de-korea,14.0
tour-de-kumano,7.0
tour-de-kurpie,7.0
tour-de-kyushu,14.0
tour-de-l-ain,14.0
tour-de-la-mirabelle,40.0
tour-de-langkawi,20.0
tour-de-limpopo,7.0
tour-de-lombok,7.0
tour-de-luxembourg,20.0
tour-de-normadie,7.0
tour-de-okinawa,40.0
tour-de-pologne,50.0
tour-de-ribas,40.0
tour-de-romandie,60.0
tour-de-santa-catarina,7.0
tour-de-selangor,7.0
tour-de-serbie,7.0
tour-de-siak,7.0
tour-de-suisse,60.0
tour-de-taiwan,14.0
tour-de-vendee,125.0
tour-de-wallonie,20.0
tour-de-yorkshire,20.0
tour-des-alpes-maritimes,14.0
tour-des-fjords,20.0
tour-des-flandres-espoirs,70.0
tour-des-pays-de-savoie,7.0
tour-do-rio,7.0
tour-down-under,60.0
tour-du-benin,7.0
tour-du-cameroun,7.0
tour-du-doubs,125.0
tour-du-faso,7.0
tour-du-finistere,125.0
tour-du-gevaudan-languedoc-roussillon,40.0
tour-du-jura-cycliste,125.0
tour-du-limousin,14.0
tour-du-loir-et-cher,7.0
tour-du-mali,7.0
tour-du-maroc,7.0
tour-du-pays-de-montbeliard,7.0
tour-du-poitou-charentes-et-de-la-vienne,14.0
tour-du-sahel,7.0
tour-du-senegal,7.0
tour-international-des-zibans,7.0
tour-internationale-d-oranie,7.0
tour-of-albania,7.0
tour-of-almaty,14.0
tour-of-antalya,14.0
tour-of-austria,14.0
tour-of-belgium,20.0
tour-of-bihor-bellotto,14.0
tour-of-binzhou,125.0
tour-of-black-sea,7.0
tour-of-bostonliq,40.0
tour-of-bostonliq-ii,40.0
tour-of-britain,20.0
tour-of-bulgaria,7.0
tour-of-california,40.0
tour-of-cappadocia,7.0
tour-of-central-anatolia,7.0
tour-of-china,14.0
tour-of-china-ii,14.0
tour-of-croatia,20.0
tour-of-denmark,20.0
tour-of-estonia,14.0
tour-of-faith-sultan-mehmet,7.0
tour-of-fuzhou,14.0
tour-of-good-hope,7.0
tour-of-guangxi,40.0
tour-of-hainan,20.0
tour-of-hellas,14.0
tour-of-holland,14.0
tour-of-huangshan,14.0
tour-of-istanbul,14.0
tour-of-japan,14.0
tour-of-kandovan,40.0
tour-of-kayseri,7.0
tour-of-konya,7.0
tour-of-kosovo,7.0
tour-of-lithuania,7.0
tour-of-magnificent-qinghai,20.0
tour-of-malopolska,7.0
tour-of-mediterrennean,7.0
tour-of-mentougou,7.0
tour-of-mersin,7.0
tour-of-mesopotamia,7.0
tour-of-mevlana,7.0
tour-of-norway,20.0
tour-of-oman,20.0
tour-of-peninsula,14.0
tour-of-poyang-lake,7.0
tour-of-quanzhou-bay,7.0
tour-of-rhodes,7.0
tour-of-rwanda,14.0
tour-of-salalah,7.0
tour-of-samsun,7.0
tour-of-shanghai,7.0
tour-of-sharjah,14.0
tour-of-singkarak,7.0
tour-of-slovenia,20.0
tour-of-szeklerland,7.0
tour-of-taihu-lake,20.0
tour-of-taiyuan,7.0
tour-of-thailand,14.0
tour-of-the-alps,20.0
tour-of-the-gila,7.0
tour-of-turkey,40.0
tour-of-utah,20.0
tour-of-van,7.0
tour-of-xingtai,7.0
tour-of-yigido,7.0
tour-pharmacie-centrale-tunisie,7.0
trans-himalaya-cycling-race,14.0
tre-valli-varesine,200.0
tro-bro-leon,200.0
trofej-umag,40.0
trofeo-alcide-degasperi,40.0
trofeo-baracchi,125.0
trofeo-calvia,125.0
trofeo-citta-di-brescia,40.0
trofeo-citta-di-castelfidardo,40.0
trofeo-edil-c-u23,30.0
trofeo-laigueglia,200.0
trofeo-matteotti,125.0
trofeo-palma,125.0
trofeo-pollenca-port-d-andratx,125.0
trofeo-ses-salines-felanitx,125.0
trofeo-torino-biella-giro-della-provincia-di-biell,40.0
trofeu-da-arrabida,40.0
turul-romaniei,14.0
uae-tour,40.0
uec-road-european-championships-itt,70.0
uec-road-european-championships-me,250.0
v4-special-series-debrecen---ibrany,40.0
v4-special-series-vasarosnameny-nyiregyhaza,40.0
