fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,state_road_km,off-grid_(unknown)_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,access_road_km
2025 Paris-Nice Stage 7.gpx,https://www.komoot.com/tour/2951419306,87.3,0.356,0.459,0.213,21.4,0.175,0.0,0.0,109.0,0.154,0.0,0.0,0.0,0.0
2025 Paris-Nice Stage 8.gpx,https://www.komoot.com/tour/2951419741,83.8,8.49,1.45,0.0,26.2,0.291,0.0,0.0,120.0,0.186,0.0,0.0,0.0,0.0
2025 Paris-Roubaix.gpx,https://www.komoot.com/tour/2951420271,165.0,19.4,16.4,1.64,45.9,1.31,10.7,0.467,200.0,4.24,52.0,0.708,0.478,0.0
2025 Renewi Tour Stage 1.gpx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025 Renewi Tour Stage 2.gpx,https://www.komoot.com/tour/2951434324,49.6,86.2,6.0,1.89,4.7,1.73,0.278,0.0,115.0,54.6,0.989,0.157,0.0,0.0
2025 Renewi Tour Stage 3.gpx,https://www.komoot.com/tour/2951434793,63.1,61.6,37.4,2.94,2.15,2.24,0.0,0.0,111.0,58.2,9.64,0.0,0.0,0.468
2025 Renewi Tour Stage 4.gpx,https://www.komoot.com/tour/2951435175,98.0,76.4,14.4,9.07,0.0,0.0,0.0,0.0,110.0,85.3,3.57,0.0,0.0,0.0
2025 Renewi Tour Stage 5.gpx,https://www.komoot.com/tour/2951436014,46.9,71.1,47.9,2.02,7.43,2.02,2.81,0.107,98.4,80.1,4.69,0.0,0.0,0.0
2025 Ronde van Vlaanderen.gpx,https://www.komoot.com/tour/2951436560,89.7,114.0,29.7,0.74,10.3,0.459,0.431,0.0,147.0,99.4,22.0,0.435,0.0,0.0
2025 Santos Tour Down Under Stage 1.gpx,https://www.komoot.com/tour/2951436953,52.3,7.47,0.367,0.734,40.6,0.904,0.806,0.0,86.7,14.3,0.0,0.48,0.0,0.0
2025 Santos Tour Down Under Stage 2.gpx,https://www.komoot.com/tour/2951437350,109.0,1.58,3.64,0.0,0.422,0.0,0.0,0.0,101.0,14.1,0.0,0.0,0.0,0.0
2025 Santos Tour Down Under Stage 3.gpx,https://www.komoot.com/tour/2951437878,64.1,1.06,0.0,0.0,40.8,0.0,0.0,0.0,50.8,55.2,0.0,0.0,0.0,0.0
2025 Santos Tour Down Under Stage 4.gpx,https://www.komoot.com/tour/2951438599,110.0,7.83,1.03,0.747,37.3,0.903,0.819,0.0,154.0,3.15,0.0,0.48,0.0,0.0
2025 Santos Tour Down Under Stage 5.gpx,https://www.komoot.com/tour/2951439059,131.0,2.76,6.55,0.353,5.33,0.353,0.0,0.0,131.0,14.7,0.0,0.0,0.0,0.0
